File ID,Volume,Area (mÂ²)
32.9,1679.81,19574.5
33.0,3911.44,25040.25
33.1,6896.39,31253.5
33.2,10164.13,34111.75
33.3,13791.51,37667.75
33.4,17702.10,40575.0
33.5,21911.51,43440.0
33.6,26392.91,46207.5
33.7,31146.21,48871.0
33.8,36170.94,51738.0
33.9,41476.84,54393.75
34.0,47051.57,57104.75
34.1,52897.17,59805.25
34.2,59012.61,62522.25
34.3,65400.45,65193.25
34.4,72053.44,67855.25
34.5,78971.42,70435.0
34.6,86144.72,73170.75
34.7,93542.10,74794.0
34.8,101105.24,76634.0
34.9,108829.04,77868.0
35.0,116682.06,79228.75
35.1,124664.75,80318.75
35.2,132748.77,81371.25
35.3,140938.50,82325.75
35.4,149215.92,83228.75
35.5,157643.45,84886.75
35.6,166196.74,86740.25
35.7,174960.34,88530.75
35.8,183902.68,91569.25
35.9,193183.90,94069.5
36.0,202718.04,96615.25
36.1,212586.55,99774.0
36.2,222668.28,101853.0
36.3,232926.07,102930.5
36.4,243251.26,103551.5
36.5,253657.50,104345.25
36.6,264120.76,105167.25
36.7,274668.20,105780.0
36.8,285276.14,106589.25
36.9,295953.94,106965.0
37.0,306670.50,107368.25
37.1,317428.44,107737.25
37.2,328217.00,108035.0
37.3,339040.19,108325.75
37.4,349881.33,108494.25
37.5,360741.31,108664.75
37.6,371613.49,108781.0
37.7,382495.76,108862.0
